åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,4,22,2.126228,2.922003,0.000000,0.860399,-1.167807,-0.640119,100429.364322,0.000000,1.323876,22.500000,-54.262143,279.750037,0.000000,0.000000,0.311689
1,4,23,1.809932,2.824913,0.000000,0.857263,-1.011926,-0.532598,100429.948197,0.000000,1.138714,22.500000,-65.957617,295.112939,0.000000,0.000000,0.309448
1,5,0,0.844040,2.874917,0.000000,0.874339,-0.614024,0.027929,100538.241293,0.000000,0.614024,360.000000,-75.093951,327.668545,0.000000,0.000000,0.276064
1,5,1,0.707559,2.843851,0.000000,0.881018,-0.725917,-0.103149,100568.108581,0.000000,0.725917,0.000000,-76.026512,59.947182,0.000000,0.000000,0.267095
1,5,2,0.028455,2.826252,0.000000,0.846655,-0.559328,-0.063389,100612.350016,0.000000,0.559328,0.000000,-67.615604,61.153409,0.000000,0.000000,0.290112
1,5,3,-0.297861,2.717927,0.000000,0.810478,-1.058510,0.081283,100683.174064,0.000000,1.058510,360.000000,-56.117072,78.171454,0.000000,0.000000,0.320866
1,5,4,-0.493981,2.694889,0.000000,0.787876,-1.244206,-0.149042,100673.060581,0.000000,1.244206,0.000000,-43.943065,88.617261,0.000000,0.000000,0.340219
1,5,5,-0.572212,2.686522,0.000000,0.774587,-1.359263,-0.412151,100682.105521,0.000000,1.413518,22.500000,-31.697134,96.853803,0.000000,0.000000,0.352215
1,5,6,-0.821230,2.773883,0.000000,0.766431,-1.277759,-0.442810,100739.205431,0.000000,1.349952,22.500000,-19.644677,104.435064,0.000000,0.000000,0.356258
1,5,7,-1.316017,2.841752,0.000000,0.763166,-1.147500,-0.462764,100767.388474,0.000000,1.237243,22.500000,-7.998585,112.153697,0.000000,0.000000,0.351387
1,5,8,-0.853016,2.912117,0.093573,0.764774,-0.947235,-0.544062,100779.597181,0.000000,1.083334,22.500000,2.993440,120.584337,0.095484,0.088587,0.357392
1,5,9,1.118061,2.819417,0.631722,0.814259,-0.387014,0.094833,100946.483506,0.000000,0.393846,337.500000,12.994102,130.257560,1.897010,0.205178,0.340753
1,5,10,3.145928,2.715925,1.115450,0.895962,-1.456406,0.403760,100899.566821,0.000000,1.500056,337.500000,21.527980,141.677711,2.055388,0.361214,0.293590
1,5,11,4.588516,2.598955,1.466683,0.963872,-2.223038,0.147153,100766.652800,0.000000,2.223038,360.000000,27.961546,155.172038,1.584522,0.723734,0.250719
1,5,12,5.049317,2.365093,1.796489,0.998798,-2.347035,0.402354,100732.278596,0.000000,2.347035,360.000000,31.585987,170.543862,2.656493,0.405077,0.223874
1,5,13,5.473991,2.326838,1.854480,0.962907,-2.674458,0.311120,100577.661789,0.000000,2.674458,360.000000,31.872918,186.783258,2.819505,0.365677,0.267248
1,5,14,5.715424,2.334062,1.594022,0.901387,-2.715507,0.481839,100593.420094,0.000000,2.715507,360.000000,28.775574,202.390614,2.471844,0.404126,0.333037
